candle_begin_time,open,high,low,close,signal,pos,b_bar_quote_volume,kline_pct,r_line_equity_curve
2023-05-15 17:00:00,0.001696,0.0017192,0.0016847,0.0016968,,0.0,65533272.0269141,[0.00041271],1.0
2023-05-15 18:00:00,0.0016968,0.0017043,0.001664,0.001675,0.0,0.0,50350040.9403067,[-0.01284771],1.0
2023-05-15 19:00:00,0.001675,0.0016766,0.001635,0.0016679,,0.0,47701342.9343066,[-0.00423881],1.0
2023-05-15 20:00:00,0.0016679,0.0016764,0.0016436,0.001662,-1.0,0.0,32780886.4686432,[-0.00353738],1.0
2023-05-15 21:00:00,0.0016621,0.0016894,0.0016504,0.0016874,0.0,-1.0,34691233.8186533,[0.01528279],0.9811508818012844
2023-05-15 22:00:00,0.0016874,0.0017656,0.0016734,0.0017298,1.0,0.0,103362171.2613295,[0.02512741],0.9811508818012844
2023-05-15 23:00:00,0.0017298,0.001749,0.0017032,0.0017318,,1.0,53551973.0176623,[0.0011562],0.9805184349310295
2023-05-16 00:00:00,0.0017318,0.0018202,0.0017227,0.0018106,,1.0,132157007.09712669,[0.04550179],1.0252141728948865
2023-05-16 01:00:00,0.0018108,0.0018185,0.0017386,0.0017634,,1.0,89296158.9627949,[-0.02606871],0.9984421065002919
2023-05-16 02:00:00,0.0017634,0.0017657,0.001713,0.0017346,,1.0,56085837.1571313,[-0.01633209],0.9821066083612172
2023-05-16 03:00:00,0.0017345,0.0017399,0.0017131,0.0017233,,1.0,34676054.0122605,[-0.00651447],0.9756971941608165
2023-05-16 04:00:00,0.0017233,0.0017235,0.0016625,0.0016902,0.0,1.0,65441238.9901153,[-0.01920733],0.9551412227356191
2023-05-16 05:00:00,0.0016901,0.001723,0.0016578,0.0016943,,0.0,65837691.8581191,[0.00242575],0.9551412227356191
2023-05-16 06:00:00,0.0016943,0.0016944,0.0016542,0.0016695,,0.0,48728245.8638666,[-0.01463731],0.9551412227356191
2023-05-16 07:00:00,0.0016694,0.001699,0.0016624,0.0016956,,0.0,51207766.8966469,[0.01563342],0.9551412227356191
2023-05-16 08:00:00,0.0016956,0.0017164,0.0016759,0.0016869,,0.0,47778578.8216569,[-0.00513093],0.9551412227356191
2023-05-16 09:00:00,0.0016869,0.0016936,0.0016551,0.0016701,,0.0,42569118.8453847,[-0.0099591],0.9551412227356191
2023-05-16 10:00:00,0.0016701,0.0016777,0.00163,0.001657,-1.0,0.0,56715438.1901301,[-0.00784384],0.9551412227356191
2023-05-16 11:00:00,0.001657,0.001686,0.0016481,0.0016753,,-1.0,42543160.2929747,[0.01104406],0.9428740999879782
2023-05-16 12:00:00,0.0016753,0.0016896,0.0016552,0.0016799,,-1.0,60756912.4523365,[0.00274578],0.9402225311214469
2023-05-16 13:00:00,0.0016799,0.0016854,0.0016562,0.0016611,,-1.0,56973302.3968691,[-0.01119114],0.9510593777933574
2023-05-16 14:00:00,0.0016611,0.0016705,0.0016467,0.0016621,,-1.0,52588116.121973,[0.00060201],0.9504829497788941
2023-05-16 15:00:00,0.001662,0.0017298,0.001661,0.0017196,0.0,-1.0,101218920.522284,[0.03459479],0.9154955932575515
2023-05-16 16:00:00,0.0017197,0.00175,0.001671,0.0017031,,0.0,120672069.8144909,[-0.00959525],0.9154955932575515
2023-05-16 17:00:00,0.0017031,0.0017137,0.0016863,0.0017029,,0.0,48224308.3681712,[-0.00011743],0.9154955932575515
2023-05-16 18:00:00,0.0017028,0.0017143,0.0016886,0.0017061,,0.0,42615565.4106604,[0.00187915],0.9154955932575515
2023-05-16 19:00:00,0.0017062,0.001712,0.0016616,0.001664,,0.0,52896056.6294014,[-0.02467616],0.9154955932575515
2023-05-16 20:00:00,0.0016641,0.001697,0.0016553,0.0016712,,0.0,47305067.0872308,[0.00432692],0.9154955932575515
2023-05-16 21:00:00,0.0016712,0.00169,0.0016653,0.0016861,,0.0,27664522.0993986,[0.00891575],0.9154955932575515
2023-05-16 22:00:00,0.0016862,0.001687,0.0016629,0.0016716,,0.0,27720245.0721964,[-0.00859973],0.9154955932575515
2023-05-16 23:00:00,0.0016716,0.0016766,0.0016539,0.0016643,,0.0,28334372.5619597,[-0.00436707],0.9154955932575515
